species_ncbi_tax_id,ncbi_tax_id,organism_name,primary_key
34373,,Blumeria graminis f. sp. triticale THUN-12,<i>Blumeria graminis</i> f. sp. triticale THUN-12
2867405,,Blumeria hordei strain RACE1,<i>Blumeria hordei</i> strain RACE1
4779,,Bremia lactucae strain SF5,<i>Bremia lactucae</i> strain SF5
5016,,Bipolaris maydis C4,<i>Bipolaris maydis</i> C4
1658174,,Blastomyces percursus strain EI222,<i>Blastomyces percursus</i> strain EI222
1357716,,Batrachochytrium salamandrivorans BS,<i>Batrachochytrium salamandrivorans</i> BS
5476,,Candida albicans SC5314_B,<i>Candida albicans</i> SC5314_B
498019,,Candida auris strain 6684,<i>Candidozyma auris</i> 6684
498019,,Candida auris strain B11220,<i>Candidozyma auris</i> B11220
498019,,Candida auris strain B11221,<i>Candidozyma auris</i> B11221
498019,,Candida auris strain B11243,<i>Candidozyma auris</i> B11243
498019,,Candida auris strain B11245,<i>Candidozyma auris</i> B11245
498019,,Candida auris strain B8441,<i>Candidozyma auris</i> B8441
122368,,Cercospora beticola Cb09-40,<i>Cercospora beticola</i> Cb09-40
86049,,Cladophialophora carrionii KSF,<i>Cladophialophora carrionii</i> KSF
2011032,,Cryptococcus cf. gattii MF34,<i>Cryptococcus cf. gattii</i> MF34
5346,,Coprinopsis cinerea #326,<i>Coprinopsis cinerea</i> #326
95742,,Curvularia clavata yc1106,<i>Curvularia clavata</i> yc1106
1231522,,Candida duobushaemulonis strain B09383,<i>Candidozyma duobushaemuli</i> B09383
36022,,Cyberlindnera fabianii 65,<i>Cyberlindnera fabianii</i> 65
45357,,Candida haemulonis B11899,<i>Candidozyma haemuli</i> B11899
569365,,Cladophialophora immunda strain CBS 83496,<i>Cladophialophora immunda</i> strain CBS 83496
5501,,Coccidioides immitis WA_211,<i>Coccidioides immitis</i> WA_211
84275,,Cercospora kikuchii MAFF 305040,<i>Cercospora kikuchii</i> MAFF 305040
273372,,Candida metapsilosis BP57,<i>Candida metapsilosis</i> BP57
73501,,Cordyceps militaris ATCC 34164,<i>Cordyceps militaris</i> ATCC 34164
5207,,Cryptococcus neoformans H99 2018,<i>Cryptococcus neoformans</i> H99 2018
5207,,Cryptococcus neoformans KN99,<i>Cryptococcus neoformans</i> KN99
5207,,Cryptococcus neoformans strain:VNII,<i>Cryptococcus neoformans</i> strain:VNII
199306,,Coccidioides posadasii strain Silveira 2022,<i>Coccidioides posadasii</i> strain Silveira 2022
418784,,Candida pseudohaemulonii strain B12108,<i>Candidozyma pseudohaemuli</i> B12108
264361,,Chrysosporium queenslandicum isolate CBS 280.77,<i>Chrysosporium queenslandicum</i> isolate CBS 280.77
5482,,Candida tropicalis MYA-3404 2020,<i>Candida tropicalis</i> MYA-3404 2020
58627,,Debaryomyces fabryi CBS 789,<i>Debaryomyces fabryi</i> CBS 789
5481,,Diutina rugosa CBS 613,<i>Diutina rugosa</i> CBS 613
1955775,,Emergomyces africanus CBS 136260,<i>Emergomyces africanus</i> CBS 136260
73230,,Emmonsia crescens UAMH 3008,<i>Emmonsia crescens</i> UAMH3008
212818,,Exophiala mesophila strain CBS 40295,<i>Exophiala mesophila</i> strain CBS 40295
52586,,Erysiphe necator EnFRAME01,<i>Erysiphe necator</i> EnFRAME01
215243,,Exophiala oligosperma strain CBS 72588,<i>Exophiala oligosperma</i> strain CBS 72588
1972497,,Emergomyces orientalis 5z489,<i>Emergomyces orientalis</i> 5z489
91928,,Exophiala spinifera CBS 89968,<i>Exophiala spinifera</i> CBS 89968
48490,,Fusarium circinatum NRRL 25331,<i>Fusarium circinatum</i> NRRL 25331
5499,,Fulvia fulva Race5_Kim,<i>Fulvia fulva</i> Race5_Kim
5518,,Fusarium graminearum DAOM 233423,<i>Fusarium graminearum</i> DAOM 233423
192010,,Fusarium mangiferae MRC7560,<i>Fusarium mangiferae</i> MRC7560
42672,,Fusarium napiforme NRRL 25196,<i>Fusarium napiforme</i> NRRL 25196
2502994,,Fusarium odoratissimum strain race 4,<i>Fusarium odoratissimum</i> strain race 4
5507,,Fusarium oxysporum Strain Fo47 2020,<i>Fusarium oxysporum</i> Strain Fo47 2020
948311,,Fusarium proliferatum strain NRRL62905,<i>Fusarium proliferatum</i> strain NRRL62905
169388,,Fusarium solani FSSC 5 MPI-SDFR-AT-0091,<i>Fusarium solani</i> FSSC 5 MPI-SDFR-AT-0091
5037,,Histoplasma capsulatum G184AR,<i>Histoplasma capsulatum</i> G184AR
2059318,,Histoplasma mississippiense (nom. inval.) NAm1,<i>Histoplasma mississippiense</i> (nom. inval.) NAm1
5037,,Histoplasma capsulatum WU24,<i>Histoplasma capsulatum</i> WU24
56406,,Hanseniaspora guilliermondii strain UTAD222,<i>Hanseniaspora guilliermondii</i> strain UTAD222
29833,,Hanseniaspora uvarum strain AWRI3580,<i>Hanseniaspora uvarum</i> strain AWRI3580
203904,,Hemileia vastatrix Race XXXIII,<i>Hemileia vastatrix</i> Race XXXIII
41688,,Lomentospora prolificans JHH-5317,<i>Lomentospora prolificans</i> JHH-5317
688394,,Lichtheimia ramosa KPH11,<i>Lichtheimia ramosa</i> KPH11
3151832,,Metarhizium hybridum ARSEF 549,<i>Metarhizium hybridum</i> ARSEF 549
38448,,Monilinia fructicola CPMC6,<i>Monilinia fructicola</i> CPMC6
100816,,Madurella mycetomatis mm55,<i>Madurella mycetomatis</i> mm55
77020,,Malassezia pachydermatis CBS 1879,<i>Malassezia pachydermatis</i> CBS 1879
76775,,Malassezia restricta KCTC 27527,<i>Malassezia restricta</i> KCTC 27527
100951,,Naganishia albida JCM2334,<i>Naganishia albida</i> JCM2334
100951,,Naganishia albida NRRL Y-1402,<i>Naganishia albida</i> NRRL Y-1402
5478,,Nakaseomyces glabratus BG2,<i>Nakaseomyces glabratus</i> BG2
5478,,Nakaseomyces glabratus BG3993,<i>Nakaseomyces glabratus</i> BG3993
